Time,Ask,Bid,AskVolume,BidVolume 
2015.01.02 04:38:31.127,1.20504,1.20499,1.25,1
2015.01.02 04:38:31.633,1.20504,1.20499,1,1.28
2015.01.02 04:38:34.282,1.20502,1.20499,1,1.28
2015.01.02 04:38:35.073,1.20502,1.20498,1.5,1.28
2015.01.02 04:38:36.721,1.20502,1.20497,1.69,1.54
2015.01.02 04:38:37.226,1.20502,1.20497,1.69,1.54
2015.01.02 04:38:39.077,1.20502,1.20497,1.69,1.54
2015.01.02 04:38:40.313,1.20499,1.20496,1.31,1.28
2015.01.02 04:38:41.290,1.20499,1.20495,1.31,4.95
2015.01.02 04:38:41.543,1.20499,1.20495,1.31,4.68
2015.01.02 04:38:42.066,1.205,1.20495,4.87,3.97
2015.01.02 04:38:42.622,1.20499,1.20495,1.62,4.72
2015.01.02 04:38:42.926,1.205,1.20496,2.81,1
2015.01.02 04:38:43.431,1.205,1.20496,2.81,1.28
